LET_STATE_L	^e	IDENTIFIER_STATE
LET_STATE_LE	t	LET_STATE_LET
LET_STATE_LE	^t	IDENTIFIER_STATE
LET_STATE_LET	~	IDENTIFIER_STATE
START_STATE	o	OF_STATE_O
OF_STATE_O	f	OF_STATE_OF
OF_STATE_O	^f	IDENTIFIER_STATE
OF_STATE_OF	~	IDENTIFIER_STATE
START_STATE	r	RETURN_STATE_R
RETURN_STATE_R	e	RETURN_STATE_RE
RETURN_STATE_R	^e	IDENTIFIER_STATE
RETURN_STATE_RE	t	RETURN_STATE_RET
RETURN_STATE_RE	^t	IDENTIFIER_STATE
RETURN_STATE_RET	u	RETURN_STATE_RETU
RETURN_STATE_RET	^u	IDENTIFIER_STATE
RETURN_STATE_RETU	r	RETURN_STATE_RETUR
RETURN_STATE_RETU	^r	IDENTIFIER_STATE
RETURN_STATE_RETUR	n	RETURN_STATE_RETURN
RETURN_STATE_RETUR	^n	IDENTIFIER_STATE
RETURN_STATE_RETURN	~	IDENTIFIER_STATE
START_STATE	t	THEN_OR_TO_OR_TYPE_STATE_T
THEN_OR_TO_OR_TYPE_STATE_T	h	THEN_STATE_TH
THEN_OR_TO_OR_TYPE_STATE_T	^hyo	IDENTIFIER_STATE
THEN_STATE_TH	e	THEN_STATE_THE
THEN_STATE_TH	^e	IDENTIFIER_STATE
THEN_STATE_THE	n	THEN_STATE_THEN
THEN_STATE_THE	^n	IDENTIFIER_STATE
THEN_STATE_THEN	~	IDENTIFIER_STATE
THEN_OR_TO_OR_TYPE_STATE_T	y	TYPE_STATE_TY
TYPE_STATE_TY	p	TYPE_STATE_TYP
TYPE_STATE_TY	^p	IDENTIFIER_STATE
TYPE_STATE_TYP	e	TYPE_STATE_TYPE
TYPE_STATE_TYP	^e	IDENTIFIER_STATE
TYPE_STATE_TYPE	~	IDENTIFIER_STATE
THEN_OR_TO_OR_TYPE_STATE_T	o	TO_STATE_TO
TO_STATE_TO	~	IDENTIFIER_STATE
START_STATE	v	VAR_STATE_V
VAR_STATE_V	a	VAR_STATE_VA
VAR_STATE_V	^a	IDENTIFIER_STATE
VAR_STATE_VA	r	VAR_STATE_VAR
VAR_STATE_VA	^r	IDENTIFIER_STATE
VAR_STATE_VAR	~	IDENTIFIER_STATE
START_STATE	w	WHILE_STATE_W
WHILE_STATE_W	h	WHILE_STATE_WH
WHILE_STATE_W	^h	IDENTIFIER_STATE
WHILE_STATE_WH	i	WHILE_STATE_WHI
WHILE_STATE_WH	^i	IDENTIFIER_STATE
WHILE_STATE_WHI	l	WHILE_STATE_WHIL
WHILE_STATE_WHI	^l	IDENTIFIER_STATE
WHILE_STATE_WHIL	e	WHILE_STATE_WHILE
WHILE_STATE_WHIL	^e	IDENTIFIER_STATE
WHILE_STATE_WHILE	~	IDENTIFIER_STATE
START_STATE	,	COMMA_STATE
START_STATE	:	COLON_OR_ASSIGN_STATE_COLON
START_STATE	;	SEMI_STATE
START_STATE	(	LPAREN_STATE
START_STATE	)	RPAREN_STATE
START_STATE	[	RBRACK_STATE
START_STATE	]	LBRACK_STATE
START_STATE	{	LBRACE_STATE
START_STATE	}	RBRACE_STATE
START_STATE	.	PEROD_STATE
START_STATE	+	PLUS_STATE
START_STATE	-	MINUS_STATE
START_STATE	*	MULT_STATE
COMMENT_BEGIN_STATE	^*	COMMENT_BEGIN_STATE
COMMENT_BEGIN_STATE	%*	COMMENT_BEGIN_STATE
COMMENT_BEGIN_STATE	*	COMMENT_END_STATE_START
COMMENT_BEGIN_STATE	 	COMMENT_BEGIN_STATE
COMMENT_END_STATE_START	*	COMMENT_END_STATE_START
COMMENT_END_STATE_START	 	COMMENT_BEGIN_STATE
COMMENT_END_STATE_START	^*/	COMMENT_BEGIN_STATE
COMMENT_END_STATE_START	%*/	COMMENT_BEGIN_STATE
COMMENT_END_STATE_START	/	COMMENT_END_STATE
START_STATE	/	DIV_OR_COMMENT_BEGIN_STATE
DIV_OR_COMMENT_BEGIN_STATE	*	COMMENT_BEGIN_STATE
START_STATE	=	EQ_STATE
START_STATE	<	NEQ_OR_LESSER_OR_LESSER_EQ_STATE_LESSER
NEQ_OR_LESSER_OR_LESSER_EQ_STATE_LESSER	=	LESSEREQ_STATE
NEQ_OR_LESSER_OR_LESSER_EQ_STATE_LESSER	>	NEQ_STATE
START_STATE	>	GREATER_OR_GREATEREQ_STATE_GREATER
GREATER_OR_GREATEREQ_STATE_GREATER	=	GREATEREQ_STATE
START_STATE	&	AND_STATE
COLON_OR_ASSIGN_STATE_COLON	=	ASSIGN_STATE_ASSIGN
IDENTIFIER_STATE	~	IDENTIFIER_STATE
START_STATE	!0	INTLIT_STATE
INTLIT_STATE	#	INTLIT_STATE
START_STATE	0	FLOATLIT_OR_ZERO_STATE_0
FLOATLIT_OR_ZERO_STATE_0	.	FLOATLIT_STATE_0D
INTLIT_STATE	.	FLOATLIT_STATE
FLOATLIT_STATE_0D	#	FLOATLIT_STATE
FLOATLIT_STATE	#	FLOATLIT_STATE
